[55.707096,37.671871]
[55.672946,37.914165]
[55.485336,37.557121]
[55.573765,37.635936]
[55.649765,37.446575]
[55.484962,37.562461]
[55.679363,37.701133]
[55.665136,37.72414] 
[55.678199,37.666194]
[55.187923,37.534812]
[55.778195,37.664181]
[56.02235,37.474595] 
[55.461351,37.566161]
[55.483119,37.559474]
[55.815203,37.522475]
[55.566829,37.605781]
[55.659256,37.52645] 
[55.944673,37.774816]
[55.881202,37.651081]
[55.604913,37.63133] 
[55.704923,37.588455]
[55.483909,37.559787]
[55.483119,37.559574]
[55.815141,37.522448]
[55.915165,37.758678]
[55.071303,37.861895]
[55.815215,37.522171]
[55.679363,37.701160]
[55.485874,37.557273]
[55.121795,37.942775]
[55.74241,37.694478] 
[55.870548,37.636833]
[55.641455,37.60429] 
[55.679222,37.698963]
[55.735468,37.828896]
[55.900768,37.631831]
[55.392421,37.298046]
[55.815223,37.522226]
[55.634543,37.698956]
[55.901025,37.628403]
[55.484310,37.559986]
[55.727965,37.70865] 
[55.81518,37.522255] 
[55.775206,37.665875]
[55.669825,37.58731] 
[55.483032,37.559871]
[55.597557,37.508621]
[55.484790,37.557357]
[55.561328,37.669982]
[55.566852,37.605815]
[55.677722,37.696346]
[55.483993,37.559749]
[56.294306,38.153096]
[55.661312,37.620262]
[55.618601,37.708121]
[55.483089,37.559677]
[55.673233,37.489265]
[55.638951,37.688761]
[55.772531,37.635958]
[55.561336,37.669963]
[55.070671,37.570201]
[55.835449,37.403152]
[55.611903,37.662491]
[55.075258,37.839561]
[55.483097,37.559627]
[55.485637,37.561275]
[55.253093,37.506118]
[55.741946,37.55813] 
[55.881584,37.651695]
[55.827138,37.489211]
[55.566299,37.604598]
[55.664633,38.032815]
[55.611110,37.717350]
[55.467038,37.56242] 
[55.823358,37.749648]
[55.461423,37.566246]
[55.673071,37.914148]
[55.91534,37.758521] 
[55.589351,38.006756]
[55.624439,37.646160]
[55.385440,37.364696]
[55.672978,37.913953]
[55.731517,37.704402]
[56.301495,38.143883]
[55.741941,37.558323]
[55.881305,37.651420]
[55.799645,37.28185] 
[55.741508,37.697315]
[55.679607,37.699523]
[55.657315,37.380108]
[55.121185,37.959206]
[55.880878,37.650093]
[55.840751,37.187036]
[55.775273,37.665691]
[55.484146,37.559818]
[55.484317,37.559963]
[55.600038,37.653145]
[55.660355,37.71324] 
[55.673033,37.91391] 
[55.561321,37.669933]
[55.679436,37.850355]
[55.679622,37.699645]
[55.537601,37.539436]
[55.622520,37.657005]
[55.638835,37.689685]
[55.816828,37.349955]
[56.301146,38.14398] 
[55.638588,37.458153]
[55.679157,37.699100]
[55.645515,37.916145]
